 ,Area,Mean,Min,Max
1,418.587,255,255,255
2,911.922,255,255,255
3,448.486,255,255,255
4,448.486,255,255,255
5,814.750,255,255,255
6,470.911,255,255,255
7,710.104,255,255,255
8,388.688,255,255,255
9,149.495,255,255,255
10,896.973,255,255,255
11,882.023,255,255,255
12,904.448,255,255,255
13,171.920,255,255,255
14,583.032,255,255,255
15,493.335,255,255,255
16,463.436,255,255,255
17,224.243,255,255,255
18,769.902,255,255,255
19,448.486,255,255,255
20,298.991,255,255,255
21,762.427,255,255,255
22,381.213,255,255,255
23,882.023,255,255,255
24,284.041,255,255,255
25,754.952,255,255,255
26,568.083,255,255,255
27,1173.540,255,255,255
28,597.982,255,255,255
29,515.759,255,255,255
30,508.285,255,255,255
31,313.941,255,255,255
32,411.113,255,255,255
33,822.225,255,255,255
34,418.587,255,255,255
35,104.647,255,255,255
36,515.759,255,255,255
37,627.881,255,255,255
38,321.415,255,255,255
39,89.697,255,255,255
40,411.113,255,255,255
41,515.759,255,255,255
42,500.810,255,255,255
43,1285.661,255,255,255
44,545.659,255,255,255
45,366.264,255,255,255
46,568.083,255,255,255
47,612.931,255,255,255
48,351.314,255,255,255
49,291.516,255,255,255
50,627.881,255,255,255
51,276.567,255,255,255
52,867.074,255,255,255
53,470.911,255,255,255
54,956.771,255,255,255
55,2048.088,255,255,255
56,112.122,255,255,255
57,545.659,255,255,255
58,373.739,255,255,255
59,254.142,255,255,255
60,276.567,255,255,255
61,627.881,255,255,255
62,381.213,255,255,255
63,1001.620,255,255,255
64,418.587,255,255,255
65,403.638,255,255,255
66,874.549,255,255,255
67,366.264,255,255,255
68,478.386,255,255,255
69,321.415,255,255,255
70,545.659,255,255,255
71,358.789,255,255,255
72,470.911,255,255,255
73,418.587,255,255,255
74,508.285,255,255,255
75,455.961,255,255,255
76,313.941,255,255,255
77,799.801,255,255,255
78,627.881,255,255,255
79,201.819,255,255,255
80,538.184,255,255,255
81,949.296,255,255,255
82,104.647,255,255,255
83,426.062,255,255,255
84,418.587,255,255,255
85,358.789,255,255,255
86,388.688,255,255,255
87,956.771,255,255,255
88,620.406,255,255,255
89,799.801,255,255,255
90,411.113,255,255,255
91,1024.044,255,255,255
92,373.739,255,255,255
93,403.638,255,255,255
94,201.819,255,255,255
95,485.860,255,255,255
96,926.872,255,255,255
97,441.012,255,255,255
98,508.285,255,255,255
99,396.163,255,255,255
100,336.365,255,255,255
101,1375.358,255,255,255
102,657.780,255,255,255
103,1749.097,255,255,255
104,545.659,255,255,255
105,418.587,255,255,255
106,156.970,255,255,255
107,538.184,255,255,255
108,470.911,255,255,255
109,657.780,255,255,255
110,381.213,255,255,255
