Slice,Count,Total Area,Average Size,%Area,Mean
1,4055,2573504.990,634.650,23.909,255
2,3534,1309954.193,370.672,12.170,255
3,3465,1306007.514,376.914,12.133,255
4,3361,1309617.829,389.651,12.167,255
5,3327,1352246.467,406.446,12.563,255
6,3190,1266720.100,397.091,11.768,255
7,3059,1254439.046,410.081,11.654,255
8,2986,1252458.232,419.443,11.636,255
9,2933,1276399.932,435.186,11.858,255
10,2929,1259424.719,429.985,11.701,255
11,2838,1217498.712,428.999,11.311,255
12,2709,1165683.577,430.300,10.830,255
13,2737,1199619.051,438.297,11.145,255
14,2618,1154336.868,440.923,10.724,255
15,2652,1149545.541,433.464,10.680,255
16,2512,1086705.110,432.606,10.096,255
